Algorithm,Array Size,Time (ns)
hybrid_sort1,256,823293
hybrid_sort1,256,801749
hybrid_sort1,256,804345
hybrid_sort1,256,799576
hybrid_sort1,256,750616
hybrid_sort1,256,757400
hybrid_sort1,256,752956
hybrid_sort1,256,748195
hybrid_sort1,256,746108
hybrid_sort1,256,746997
hybrid_sort1,512,1662052
hybrid_sort1,512,1645162
hybrid_sort1,512,1649050
hybrid_sort1,512,1651606
hybrid_sort1,512,1680123
hybrid_sort1,512,1650968
hybrid_sort1,512,1668603
hybrid_sort1,512,1654250
hybrid_sort1,512,1667554
hybrid_sort1,512,1652490
hybrid_sort1,1024,3224382
hybrid_sort1,1024,3215786
hybrid_sort1,1024,3211226
hybrid_sort1,1024,3209061
hybrid_sort1,1024,3211093
hybrid_sort1,1024,3212452
hybrid_sort1,1024,3219561
hybrid_sort1,1024,3223299
hybrid_sort1,1024,3196894
hybrid_sort1,1024,3170478
hybrid_sort1,2048,7107393
hybrid_sort1,2048,7080167
hybrid_sort1,2048,7082409
hybrid_sort1,2048,7211017
hybrid_sort1,2048,7373805
hybrid_sort1,2048,7348369
hybrid_sort1,2048,7420800
hybrid_sort1,2048,7401971
hybrid_sort1,2048,7334279
hybrid_sort1,2048,7411906
hybrid_sort1,4096,16163450
hybrid_sort1,4096,16132997
hybrid_sort1,4096,16295329
hybrid_sort1,4096,16209280
hybrid_sort1,4096,15868087
hybrid_sort1,4096,15611186
hybrid_sort1,4096,15608664
hybrid_sort1,4096,15581631
hybrid_sort1,4096,15592836
hybrid_sort1,4096,15585333
hybrid_sort1,8192,35244796
hybrid_sort1,8192,35983062
hybrid_sort1,8192,35645018
hybrid_sort1,8192,35751914
hybrid_sort1,8192,35503122
hybrid_sort1,8192,35563133
hybrid_sort1,8192,35439425
hybrid_sort1,8192,35399186
hybrid_sort1,8192,35465160
hybrid_sort1,8192,35574402
hybrid_sort1,16384,77482631
hybrid_sort1,16384,77144128
hybrid_sort1,16384,77946599
hybrid_sort1,16384,77779268
hybrid_sort1,16384,77469401
hybrid_sort1,16384,78489726
hybrid_sort1,16384,78054421
hybrid_sort1,16384,77448229
hybrid_sort1,16384,77489255
hybrid_sort1,16384,77438301
hybrid_sort1,32768,157728808
hybrid_sort1,32768,156612781
hybrid_sort1,32768,147020434
hybrid_sort1,32768,142418267
hybrid_sort1,32768,141998067
hybrid_sort1,32768,141480873
hybrid_sort1,32768,142473108
hybrid_sort1,32768,142564798
hybrid_sort1,32768,142811019
hybrid_sort1,32768,142829104
